1220609685	20240115	202401	2024	2024.0411											USA	TEXAS	USA								1	112	112	11	3	-2.0	10	1	10	-8.86075949367089	0								3	Lubbock County, Texas, United States	US	USTX		33.6001	-101.834	1383937	3	Lubbock County, Texas, United States	US	USTX		33.6001	-101.834	1383937	20250114230000	https://www.kcbd.com/2025/01/14/man-accused-assaulting-girlfriend-while-intoxicated-indicted/
1220609686	20240115	202401	2024	2024.0411											USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-8.86075949367089	0								3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250114230000	https://www.kcbd.com/2025/01/14/man-accused-assaulting-girlfriend-while-intoxicated-indicted/
1220609687	20240115	202401	2024	2024.0411											USA	UNITED STATES	USA								1	180	180	18	4	-9.0	2	1	2	-8.86075949367089	0								3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250114230000	https://www.kcbd.com/2025/01/14/man-accused-assaulting-girlfriend-while-intoxicated-indicted/
1220609688	20240115	202401	2024	2024.0411	CVL	TRAVELER						CVL			USAMED	THE ASSOCIATED PRESS	USA					MED			0	010	010	01	1	0.0	3	1	3	-3.27044025157233	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250114230000	https://mynorthwest.com/lifestyle/winter-weather-can-disrupt-heres-what-to-do-if-your-flight-is-canceled/4025690
1220609689	20240115	202401	2024	2024.0411	CVL	TRAVELER						CVL			USAMED	THE ASSOCIATED PRESS	USA					MED			0	013	013	01	1	0.4	2	1	2	-3.27044025157233	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250114230000	https://mynorthwest.com/lifestyle/winter-weather-can-disrupt-heres-what-to-do-if-your-flight-is-canceled/4025690
1220609690	20240115	202401	2024	2024.0411	DOM	DOMINICAN REPUBLIC	DOM								HTI	HAITI	HTI								1	043	043	04	1	2.8	10	1	10	-7.9136690647482	1	Dominican Republic	DR	DR		19	-70.666667	DR	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20250114230000	https://www.mykxlg.com/news/world/un-migration-agency-says-gang-violence-in-haiti-leads-to-tripling-of-internally-displaced-people/article_565feb35-a248-5f1e-b572-b310c2abb155.html
1220609691	20240115	202401	2024	2024.0411	HTI	HAITI	HTI								DOM	DOMINICAN REPUBLIC	DOM								1	042	042	04	1	1.9	10	1	10	-7.9136690647482	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	1	Dominican Republic	DR	DR		19	-70.666667	DR	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20250114230000	https://www.mykxlg.com/news/world/un-migration-agency-says-gang-violence-in-haiti-leads-to-tripling-of-internally-displaced-people/article_565feb35-a248-5f1e-b572-b310c2abb155.html
1220609692	20240115	202401	2024	2024.0411	THA	THAI	THA																		0	061	061	06	2	6.4	2	1	2	-2.32558139534884	4	Chumphon, Chumphon, Thailand	TH	TH58	26543	10.4957	99.1797	-3247399	0								4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20250114230000	https://www.bangkokpost.com/thailand/general/2939837/tougher-checks-on-durians
1220609693	20240115	202401	2024	2024.0411	THA	THAI	THA								CHN	CHINA	CHN								0	061	061	06	2	6.4	1	1	1	-2.32558139534884	4	Chumphon, Chumphon, Thailand	TH	TH58	26543	10.4957	99.1797	-3247399	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20250114230000	https://www.bangkokpost.com/thailand/general/2939837/tougher-checks-on-durians
1220609694	20240115	202401	2024	2024.0411	THA	THAI	THA								CHN	CHINA	CHN								0	061	061	06	2	6.4	6	1	6	-2.32558139534884	4	Chumphon, Chumphon, Thailand	TH	TH58	26543	10.4957	99.1797	-3247399	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	4	Chumphon, Chumphon, Thailand	TH	TH58	26543	10.4957	99.1797	-3247399	20250114230000	https://www.bangkokpost.com/thailand/general/2939837/tougher-checks-on-durians
